,comment,Label
2250,@nabila0921 @aql_bein0921 mben kudu mreneb😂,positif
825,Kesini yuk @damassugara,positif
1462,❤️❤️❤️❤️,positif
688,cocok udh:( nikah aja cepet lo ah,positif
898,.,netral
161,@diarymisterisara pernah kesini,positif
37,Liatnya aj udh serem tolong 😭😭,negatif
249,Asikkk bgt😢,positif
399,TAMPANN LE 😭😭😭😭😭😭😭,positif
2288,Mas Abiii😍,positif
2228,@risa_saraswati @indyratnap,positif
667,Kalau di zoom baru kerasa😢,negatif
2124,Senyumnya mirip gangga.,netral
768,Presetnya keren kakakakakakka,positif
1604,"Pocong mba sumi,siapa nya pocong mumun ?",negatif
2003,Yuk colab yuk @tim_jurnalrisa with @awkarin,positif
569,jujur gua mual,negatif
2265,@wiena_sachi,positif
486,Ini pernah buat syuting @diarymisterisara 😍😍,positif
938,❤️❤️❤️,positif
704,🔥,positif
1101,takut bgt loh😢,negatif
1459,yuk bisa yuk ke solo,positif
600,poto kasurnya 😢🥺,negatif
810,Deket bgt sama rumah😭,positif
672,🔥🔥,negatif
1190,❤️❤️❤️,positif
745,Mau😂,positif
2235,Seketika pala gue langsung pusing lihat itu,negatif
988,"keren Rin, proud bgt sm sisimu yg ini. luv",positif
1916,💟👍🙏,netral
1096,Masasinur 😍🔥🌚💜,netral
2065,Ka karin ga masuk angin?,negatif
2097,💙,positif
342,Serem,negatif
676,💚💚💚,netral
616,Akuuu,positif
1045,Miripp😍😍,positif
1390,@dianitafebrid @rnkumala,positif
715,Duhhh pngn cpt2 otw sanaahh 🤤🥰,positif
1424,Rasa ingin kesana tp ga berani @danxes_,positif
1405,mirip rumah perempuan tanah jahanam,netral
1452,CANTIK BGT,positif
23,Pelangsing 1Day 1Kg😍,netral
1629,Anak dms pasti gak asing sama rumah ini,netral
215,@keanuagl lgi berimajinajis,netral
1285,kagakk dehh:),negatif
2215,@ic__aaa ayo coh kasi tau,netral
1658,lah tempat gua ada pocong sumbing,negatif
1431,😍😍😍,positif
2140,Gareng petruk ya @awkarin 😍,positif
80,Alhamdulilah sahh💕,positif
438,💙💚💛,positif
2110,Syg rmhnya dikosongin. Gak dikontrakin aja 😅,negatif
2090,@yesiputri7 @puspapradiantas,positif
1560,@nadiaomara udah kesini,positif
1481,Manisnyaaa mas abbi😢,positif
299,😭,negatif
995,Sampai nikah amin ❤️,positif
1471,💖💖💖💖,positif
661,Nontonnya pernah di DMS @diarymisterisara 🙌,positif
1458,Horror,negatif
233,@sifiyaaals,positif
530,Mas bian😭,netral
1311,Kok bisa sihhh secantik ituuuu,positif
1549,"Siang aja begitu ,aplg malem 😢",negatif
1203,Yang wangi melati juga suka lewat lewat xixi,negatif
287,Wahhh keren sih ini💯,positif
2151,Slide 9 serem banget 😮,negatif
1756,@tim_jurnalrisa,positif
390,Kaburrrr 😱😱,negatif
1569,ganteng dah,positif
254,trs Karin nyobain dielus gk..? 😐,positif
1364,Duhhh gemeshhh😘😘😘,positif
2190,Pocong sumi,negatif
1670,Spotify Premiumnya ka beli diaku murahloh.,netral
1417,Merinding gaksih guys?🥲,negatif
878,Slide ke-3 dan terakhir 😳,negatif
303,Cocok,positif
1833,Kangen bngt ke Jogja :(,positif
1708,Awgemash 👏🏻,positif
41,Ini rumahnya siapa,netral
1376,Pas ngeliat langsung pusing,negatif
746,MIRIP NJIRRR,positif
279,ken kennn😂😂,netral
924,"liat komen"" yg bikin makin merindingdisco""",negatif
232,Slide 8 seremnya  GK NGOTAK sih menurutku😮,negatif
253,2020 sah✨,netral
2062,💕💕,netral
977,canteee,positif
712,gajadi jogja galauin aja?,negatif
1087,@tim_jurnalrisa wajib kesinii nih hehe,positif
1246,cucokkk 😍,positif
1110,@arifznlh berani gakk 😂,positif
2128,Inget banget waktu DMS ke sini juga😢,positif
317,Ganas🔥🔥🔥l❤️,negatif
2063,ada hantu penari dan siluman ular,negatif
1900,mirippppp,positif
1239,KANGEN BANGET MERAPI😭,positif
1832,💗💗💗,netral
609,Mirip ganggu,positif
1076,kok gelem le ngantri yo😂 @anunghermawann,positif
1275,❤️❤️,positif
31,@tim_jurnalrisa kunjungin donggg plsss🥺🙏🏻,positif
2209,Bagaimana saksi?sah?,positif
1507,hiling ke sini aja @rivaldyarief,positif
1544,@tim_jurnalrisa Yu kesini yu,positif
629,duh😍,negatif
1804,Miripp,positif
1938,@nucorners next kesini mampir berani ga nih 😂,positif
1150,Slide 8 sih pling seremmmm 😢,negatif
330,Slide 3 merinding,negatif
1503,@nazmipahlevi_ @nrslmaa_er,netral
567,Slide 3,netral
1975,Jd kgn yogya. Utg dh prnh ke gunung merapi,positif
1493,klo aku kesana mungkin udh lemes wkw,negatif
2263,Kaya mirip,positif
1451,😘,positif
302,Uuw🤍,positif
1931,@myusufsholqn_27,positif
359,Ini berani cenah karin @agiteeee,positif
1895,Sumiii wkwkw @desyawolf,positif
1380,SETEruse karo mas abi amin🥰😅,positif
309,kok aku merinding ya liatnya😰,negatif
2147,Mirip 😍,positif
1510,mirippppp,positif
1093,Duhhh>_<,negatif
1411,"Pasti nunggu lamaaakk bettt,-",negatif
1001,@keanuagl ngapainnnnn ituuuu,netral
1515,Enak bgt :(((,positif
1967,mwaahhhh,netral
1492,Kak pengen ktmuu yuuu,positif
1580,@aldi_reynaldi_ ceritain,netral
141,Be jadi ingat lu mmg🤣 @salsabilamrwh,positif
735,Pocong Sumi kan,negatif
1528,Musalaisi gangga beb kauji,negatif
1573,@janitrimj,positif
1663,KENAPA JODOH GUA MANIS BANGETSII 😍,positif
997,Unchunch,netral
521,sumpah ka harga nasinya murce kan yaakkk,positif
1614,😘😘😘😘,positif
1271,Ini ada di ytnya @sarawijayanto,positif
77,slide 3 ada sosok mata diatas,positif
393,Rin mirip semoga yg terakhir yaaak haha,positif
933,tp kdg manusia nya suka gatau diri,negatif
262,Njir bukan ama gangga lagi,negatif
949,Liat slide k 3 auto pusing :),negatif
563,mirip astaga🔥,positif
240,Wajib kesini si @tim_jurnalrisa,positif
1056,Kapan kesana lagiii:),positif
1302,Mas abi ganteng 😍😍😍,positif
1865,Ada d vlog nya Sarah Wijayanto ini,positif
1743,hawanya beda bgt…. merinding lgsung,negatif
937,Waktu itu aku ngungsi yawloh 😭,negatif
2212,SLIDE KE 2 DINDING POJOK KIRI ATAS.,netral
2244,Para indi indi langsung keluar🤣,positif
1592,Simirip gols bgt!😍,positif
1171,Kuliner teross bareng doi dong😍,positif
1854,Jogja vroh . Galau ganih 😅😅 @awkarin,positif
2050,keren jadi cafe nih,positif
491,⁸l😂,positif
1811,😍,positif
85,😍,netral
202,😍😍😍,netral
15,Kaget banget harganya semurah itu😂,positif
474,Rin mirip wei,positif
1840,Cantik banget herann😍,positif
118,Yang paling jelas yang di kasur,netral
1789,Serem,negatif
2012,Kangen jogjaa😭,positif
619,Mampir Sarkem ka 🤣🤣🤣🤣,negatif
1942,❤️,netral
896,🔥🔥🔥,positif
716,❤️,netral
1781,@mcy_topmarc,positif
1385,bagi bagi kakk,positif
914,😍😍😍,positif
1340,Gemoy 😍,positif
2034,Kok gak mampir kerumah Talia neng @awkarin 😘😘,positif
828,foto terakhir... 🥺🥺,negatif
657,Sereeeeemmmmmmmm,negatif
1188,😍😍,positif
1256,Kayanya nnti cowo ak gt deh,netral
1127,Badan ku sakit2 langsung melihat ini😢,negatif
310,tim angkringan @famelazyan,positif
187,Apa dayaku ga suka kambing:(,negatif
917,Kok merinding saya,negatif
1893,Gumushh view nya,positif
979,Mantulll bgt kakaaaaa💕💕💕,positif
1277,Bucyn,negatif
1524,Tas gogreen nya kaaakkk,positif
1581,Seremmmm,positif
564,"karin cantik banget, pusing :'",positif
294,"Aku liat tanda tanda kesuraman, di dompet ku.",negatif
1751,kamu mah bidadari,positif
805,Uwww mba karin😍😍,positif
572,@awkarin  you look twins,positif
1498,#teamsatekulit,positif
2114,Ka koleb dong ka sama jurnal Risa,positif
1407,@septiani.susi 😌 sate,positif
144,❤,positif
1710,Abi ganteng bgt ya,positif
260,JOGJA LAGI YOK RIN,positif
982,Aww bebebkuuuu,positif
953,KE JOGJA LAGIIIIII MIT AP SINI KAKA,positif
2233,Jd ingin:(((,positif
2117,😍,netral
842,@tim_jurnalrisa X @awkarin,positif
1164,🔥🔥🔥🔥👏👏👏👏,netral
775,Kak sarah Wijayanto pernah kesini,positif
1175,suka bgt yaallah🥰,positif
2223,@silfiribkaynsa,positif
295,Emm💖💖,netral
1491,😍😍😍,positif
546,Wah ada bidadarrri,positif
1722,panutan sklo😘😘,positif
1423,@rereykei kamu berani kan beb,positif
651,Miriip banget yaampun ❤️,positif
866,Serem njir tempatnya😂,negatif
1099,💕,positif
776,Bagus😍tapi seram,negatif
139,awas jadi suzana karin 😀😀,negatif
2093,Jogja g nih ? @ilamrenden,positif
34,Jadi mau ke jogya kann,positif
1559,bikin gw deg degan ajaa,negatif
793,Bikin ngiler 😂,positif
376,Kurindu😭,positif
1442,@diarycewekindigo apa ada sesuatu??😳,netral
743,Wehh mba Karin ke  Jogja lagi,positif
1657,Pusing 🥲,negatif
1770,degdegan parah asli takut😢,negatif
2264,Emank sate klatak terfav!!!🥰,positif
234,"Serem banget anjirrrrr, dompet gue:(",negatif
792,Mirip😊,positif
1903,8,netral
506,😭😭😭😭😭,netral
634,😍😍😍😍,positif
1815,❤️,netral
1776,luvv❤❤❤,positif
1029,Jurnal risa pernah kesini😮,netral
61,Slide 3 dan 8 merinding,negatif
1165,🔥🔥🔥,positif
2073,Kak Karinnn💕,positif
1103,Ini yang pernah disara dms,positif
227,wkwk up deh 😂,negatif
2300,Slide terakhir,netral
1043,kaa bikin vlog nya dong,positif
526,ngaco☹️😍,negatif
92,Bercerita dan berdiskusi💜,positif
868,@bayurdtyo_ angkringan,positif
817,@rererz07 jogja menunggu,positif
992,Slide 5 nenek² pandangan kosong.,negatif
1880,ready netflix sharing anti onhold 40k,positif
1696,bgni @itafazria ?🤣🔥,netral
1867,First like,positif
2175,💙,positif
36,Ibu sudah bangun,netral
1145,❤️❤️❤️❤️,positif
1358,rinn cowo lo manis bangett,positif
764,mirippp njirannn,positif
923,Jadi pengen kesana lagi ya @kurnniiiaaa,positif
1367,Liat gini aja gw deg2n 🔥,negatif
2019,Cuan 😍 cuan 😍,positif
2282,"Ini bnyk bgt, dah lebih dari 5",positif
267,keinget tanah jahanam 🥰,positif
1357,Haduuu😍,positif
223,❤️,positif
1078,Monggo anak indihome @heynom__ xixixixixi,netral
1806,🔥,netral
2103,Jadiin coffe shop bagus ni kak @awkarin,positif
781,genggam karin teruss kak sab❤️,positif
921,Wedyannnnnn,negatif
1610,Semoga jodoh amin,positif
2172,Enak gone pakdeku tep an no debat,netral
1632,Kayinn sala baju gasi😭😭,negatif
1002,Awww menantang boleh juga nanti mampir jogja😂,positif
905,@risa_saraswati teh,netral
152,Udah coba😍🤤,positif
427,i love ur positif vibe 🤟,positif
587,Gemessssssssssss,positif
1953,Mirip,positif
1228,@dilalovian skuy la bnyk angkringan ni,positif
615,karinn ke gunungkidul kapannnnn🔥,netral
42,Enak bgt emg,positif
1951,aku liat nya aja udah pusing,negatif
703,Yaa ampun mbaaa😘😍💯💯,negatif
55,inii udh pernah tayang di dms,positif
2041,😍🖤,netral
43,MAMPIR NING KOST KU KA😚,positif
794,The best😍🤤,positif
511,😮😮😮,netral
1017,happy u❤️,positif
522,haduh sate bekecott mantebb tu😭😭😰,positif
311,I wanna meet you Kak😢😢,positif
818,Ngeliat aja langsung merinding😢,negatif
1456,Couonya cakep ugha hehe,positif
641,Mas Abi Yang Kmrn Ngajak Gue Ngopi Rin,netral
684,😍,positif
1818,🔥🔥🔥❤️❤️,positif
1427,Dek @jihansiskaa di gang iku ta ?,netral
538,❤️,positif
1624,@wismarushan gas gaa?,positif
2237,🙌👏😮jzbh,netral
217,@dwikihernanto03,netral
1261,"Somehow, miriiiippp😊",positif
2100,Ini yang pernah di datengin sama DMS,positif
335,Ganteng banget mas ABI,positif
551,Besokk kemane nihhh,netral
1362,❤️❤️😍,positif
1266,😍😍😍😍😍😍,netral
1555,dkt rmh elvin @sallfaaa @bbslfnn,positif
66,💖tapjiwa,positif
692,slide terahir paling serem,negatif
2291,Cantik amattttt😻😻😻,positif
527,"SLIDE TIGA BRO, GUE LANGSUNG DEDEGANNN",negatif
2196,tb tb pusingg liatnya,negatif
140,Ganteng ih pacarnya karin yang sekarang,positif
927,Slide ke 7 dizoom kaya poci 😢,negatif
5,Adem banget muka cwonya kyk ubin mesjid😍,positif
58,Serem bgt lo rin,negatif
2032,@riririannita,positif
583,"Kangen jogja, kangen angkringan😭",positif
2253,soswettt❤️,positif
1874,Hawa mistisny klihtn bgt seremny....,negatif
1613,💖,positif
2174,Keren,positif
2125,😍😍💖,positif
721,"serem bgt,bye.",negatif
1766,Merinding bgtttttt diliat dari foto😭,negatif
1189,🇮🇩,positif
278,Kangen bangettt parah😭,positif
1273,🧡🧡🧡,positif
946,Duhh gw anak Indomie lagiii,netral
185,Ft,netral
2184,@tim_jurnalrisa,positif
2294,"Angkringan kewek pak tomi mantep jugaa,asliii",positif
1774,@indahdip,positif
958,wahhh parahhh...😍😍😍,positif
1808,Satay @cameliasitohangg wkwkw,positif
989,"Bneran enak ini, jdi pengen kesana",positif
1991,Ini ada di DMS @sarawijayanto,positif
1853,Slide ke 3 merinding bgt,negatif
19,@ver_gud wani tak jak rene ra gud ?,positif
1927,Aaaa ning pleret😥,positif
2268,@tim_jurnalrisa,netral
1890,Dielus elus😭😭😭,negatif
54,❤️,positif
189,Jogja istimewa😍 Jogja selalu bikin kangen☹️,positif
505,Mirippp❤️,positif
1922,Lebih cocok yg ini sihh..🤭,positif
64,😍😍😍😍😍,netral
1586,Slide terakhir nyeremin😢,negatif
1643,Asique @ossilujunai ,positif
1738,Dms pernah kestuu😂,positif
1928,Mirip beneran..,positif
1129,"Tolong ,kok aku bacanya sate katak 🙏🙏🙏",netral
113,@itsbaniyyy,netral
1217,Awas kesambet riin,negatif
1000,Rjj,positif
1858,Victoria secret murahya kakkkk😍😍😍😍😍,positif
82,menurut gua si rasanya B aja😅,negatif
1855,mantabbb,positif
1550,❤️❤️❤️,positif
944,Ada di youtube sara wijayanto ini 👏👏,positif
1534,Di gantole nya ? @voiiifs,netral
326,slide ke 3 ada yg liat dri atas😑,negatif
1477,Saya melihat kehampaan di hubungan kita😮😮,negatif
2273,terlalu uwuu😻,positif
1601,Gue gak liat apa2 tp knp jd mual pusing😂,negatif
1737,@pinkydwita,positif
2031,❤️❤️❤️❤️❤️❤️❤️,positif
2037,Baru liat fotonya aja udah merindinggg 🙃,negatif
1264,keren...di mana nih?,positif
850,Berani se... asal masih kelihatan orang 😂,positif
689,😍😍😍,netral
122,💙💙💙,positif
1248,@aziz_fatchulhd,positif
214,saya melihat @mariohhar ngesot” disana,negatif
1379,Mantap,positif
1529,😍,netral
1021,❤️❤️❤️❤️❤️❤️,positif
1082,gemez,positif
1661,uuuh mas ❤️,netral
795,💖💖💖,positif
909,❤️,positif
724,@tim_jurnalrisa @risa_saraswati,positif
1919,Mas liatin ada ga @evalrusdianto13,positif
298,Luv ka karin❤️❤️❤️,positif
52,Mirippp gilaaa,positif
2066,Kenapasih bkin kangen Jogja😭,positif
1050,🙌,positif
360,Bikin vlog uji nyali coba🔥,positif
1299,Uhh😍,netral
1618,Seremmm😢,negatif
1109,Ko,netral
159,Ngidam bgt guaaa anjerrr,positif
1698,@hi.huzwa kirain d stasiun kalakah 😭,negatif
318,Aduhh mas abiii 😭,netral
652,Ingat ga? @ermmawijaya,positif
717,😭😭😭,negatif
861,@indah_ramadhani_fh flashback,positif
2298,Luv❤️❤️❤️❤️,positif
558,"Cakep bener rumahnya, dulu...",positif
2115,@tim_jurnalrisa,netral
190,lu knp cocok bgt sm dia sih ka,positif
1083,Ayokkk Jogja yokk  @jennyberbitasarif 🥵,positif
710,Jatuh cinta saamaaaa kamu💛,positif
1074,❤️,positif
983,ada gg di semua slide,positif
351,@niaahmd19,positif
1783,tapi ko estetik ya? 😭,positif
2270,@azaliafarika dimana ini?,netral
1869,♥️♥️♥️♥️,netral
1946,Slide terakhir sedih bgt mbaknya 😢,negatif
996,Kapan gua punya mas mas kaya gitu😭😭😭😭,positif
1686,selalu suka sama makanan angkringan💚,positif
1315,Cek post lah kak😢,positif
913,Itu kak @keanuagl bukan sih,netral
1786,teh kesini dong @risa_saraswati,positif
1980,Maturnuwun 😍❤️❤️,positif
1421,😍😍😍,positif
479,@ojakkkk kmren tu ndk kesini jakk,positif
1651,Merinding bgt pas kesitu,negatif
1449,ngeliat fotonya hawa nya seperti rumah kosong,negatif
963,muka jodohh kak😍😍😍😍,positif
2038,Kyk pernah di pake buat syuting film ga si?,positif
271,mas abiii😍,positif
726,@lussfl inget kaga,positif
516,Angkringan KR itu mahal hahahaa,negatif
1716,Ka karinn bahagia selaluu😍😍,positif
1762,@diviradivaa nii,positif
411,Lopyu,positif
1070,sukak bngt kl sm mas abi💙,positif
906,babee💛💛💛,netral
40,deh sukaku ini berdua😭,positif
1753,Estetik,positif
4,Mirip kak😭😍,positif
204,❤️❤️❤️❤️❤️,positif
408,Cantik,positif
434,@raberylla :’) e,positif
1147,cocok buat bikin film,positif
219,hawanya serem bangett,negatif
847,Udah ya plis sama yg ini aja,positif
1428,Haha..muncul tuh mba di foto kamu,positif
272,cepet nikah😍,positif
1360,Ah kangen angkringan gw😢 @awkarin,positif
2150,👈👈Sepatunya kaka🔥🔥,netral
720,Knp ini manis bet yawlo :(,positif
813,Berani tp takut,negatif
1128,@rchaulia_ yuk bisa yuk ada apa disana wkwk,positif
1049,Jd kangen😭,positif
1635,ganteng bgt dah jd pengen kak,positif
268,aku anak indomie 😔,netral
1310,@adindarsynt seru nih tempat nyaaa,positif
481,@thatha.tata @imbaby.gurl_,positif
543,Liat foto ini aja w dah merinding,negatif
1621,@hafriandy_ kapan kesini bosqu?🙃,positif
1576,Bisa asup padahal @eriiksupriadi,positif
1265,"ihhh, kirain calum hood dong 😭",netral
1943,@tim_jurnalrisa,positif
1674,Kangen bangettt😍😍😭😭,positif
2231,❤️❤️❤️,netral
383,@tim_jurnalrisa,netral
1814,❤️,positif
1764,yes i see it (:,positif
1495,Pernah liat ini di Diary Misteri Sara,positif
347,Duhhh udahh lahh cocokkkk😍,positif
1375,❤️❤️❤️,positif
121,😍😍😍😍,netral
658,❤️,netral
590,Cucok,positif
1055,Gakuat gakuat ma deg ke dada-_-,negatif
2055,"Mirip, semoga jodoh ❤️ ya rin @awkarin",positif
1932,dijogja sis ? @awkarin,positif
1732,Cyute bnget,positif
2119,Hoodie murahh🔥ori,positif
89,Gilingggg😍,positif
1642,I kno this place omg karinnnnn❤️,positif
644,Rindu jogja dan isinya 😥,positif
760,merinding baca ne,negatif
1878,@ganggaksm kemana ??,netral
177,@_boteng teng lu ngapa disana,netral
823,Mantul mbak❤️❤️❤️,positif
519,Dikasur!!!,positif
1746,❤️❤️,positif
1934,@___oy.oy,netral
1523,💘💘💘ganteng bgt mas abi,positif
1719,dia yg pacaran gw yg gemes,positif
1819,❤,positif
1408,Ini rumah asli dlunya dlemnya kayak istana,positif
1506,@diarycewekindigo  Tiara.. sini dong,positif
1018,Dark,negatif
1567,@talitooongs ummm..,netral
2168,Loveee❤️❤️❤️,positif
785,Authentic bgt gile 👏,positif
1851,manisnya,positif
1933,Slide ke 4 banyak wajah dijendela kiri,netral
1446,Yang terahir beda bgt aura nya 🔥🔥🔥,positif
840,yeay sama!!,netral
1013,"YaAllah serem, untung gw anak indihome 😢",negatif
1058,Gak gak gakk mauu sereum bgt,negatif
1813,captionnya uuuuuunch @awkarin,positif
1339,@otunnn___,positif
171,@landitaayu mau lg,positif
412,@6icko31 slide ke 7 ada die nyempil wkwk,negatif
1166,❤️❤️,positif
895,"@azrul_rifqi gini zrul, ada nasinya",positif
1226,Gow is a woman😍,netral
964,💗💗,positif
270,🤤,positif
416,Pengen kesiniii😭,positif
2148,takut ah,negatif
2101,Bisa kecipirit dicelana  ka @awkarin 😂😂😂,negatif
364,Cocok bangett,positif
2074,",",netral
2189,Aaaaa jd kangen balik jogjaaa kaaa,positif
1757,Langgeng karinnn💓💓,positif
740,kak bikin vlog dong😂,positif
73,No,negatif
2204,lumayan byk,positif
1648,sayangg masabi❤️,positif
1122,dari cinta ke sate sm yg makannya.,positif
1081,Ada yg ngintip,negatif
312,Ngeriiiii banget bacanya🔥😭,negatif
1511,I do not see it 😶,negatif
1728,"Defenisi jodoh "" MIRIP """"""",positif
378,luv u @awkarin 💕💕💕💕💕💕💕💕,positif
1245,😍😍😍,positif
1972,Ceritain sejarah nya dong,positif
154,gemes bgt😭,positif
891,Mas abiiii ❤️,netral
192,@tim_jurnalrisa @indyratnap,positif
1631,🔥🔥,positif
1444,Dingin ya rin🤣,netral
473,kak karinn❤️❤️❤️❤️,positif
1328,@echayosia,positif
1689,Lah yang fotoin siapa cobak??,netral
87,😍,netral
1489,Serem,negatif
308,Kak kariiin,positif
2160,Merinding,negatif
1512,OMGGGG💓💓💓💓💓,positif
1983,wanita tanah jahanam ya ka,negatif
2205,Indahnya pemandangan😂,positif
1779,Auranyaaaa 😑😑,netral
1126,@dwi.kusworo.1,positif
381,@hasnahnfh13_ @zhr.alda,positif
632,pen ketemu woy,positif
