name;comment;Label
suplemen_herbal.best2;Badaànmu kurang tiìnggi? Yuuuu cek ig kamii. Yooo yooo yooooo;netral
dipaa_lilo;🙌😍;netral
andinauliah;Tasnya mao jatooh kak;negatif
anggrainirestya;Kok sekilas kek putri duyung tanpa ekor ya😅;positif
seftia020988;👏;netral
witaharahap88;juaraaaakkk😍❤️ @awkarin;positif
rajatravellers;😍😍😍😍😍;netral
dikihrtn;rebahan;netral
peninggi_super.cepat3;Ingin mempunyai tinggiiï ideâal? Tapi males olahragäa, solusi tinggi naik 3-17cm, cek ig kamiï :);positif
sarrosiam;Indahnya pemandangan😂;positif
rimotions_id;👈 Iklan animasinya kak, untuk produknya biar makin menarik dan makin laku 😁;positif
rivoniaamtirann;Yaa ampun mbaaa😘😍💯💯;negatif
taniaatst;💖💖💖💖;netral
cintaaaal;captionnya uuuuuunch @awkarin;positif
maria_boangmanalu;Wah ada bidadarrri;positif
nurri_unuyy;mwaahhhh;netral
baikbangethuhu;MAN CAKEP BAT;positif
devanwildan;😍😍😍😍;netral
kiki_ramadhani01;Jual baju fashion wanita,harga pas di kantong ❤️😘;positif
popy.id;vs nya 85rb kakak🤗;netral
dmyntiiannisaamr;Secantik itukah diirimu??;positif
rinayu30;Uwww mba karin😍😍;positif
borderlessmon;😭❤️❤️;netral
nurmalasarinurri;aduuhhh... cetarrrr... bangettt...;positif
dforpidel;tp kdg manusia nya suka gatau diri;negatif
ljkofficial;❤️;netral
divanatasyaaa;❤️❤️❤️;netral
riezap;Mantulll bgt kakaaaaa💕💕💕;positif
vinabee.id;❤❤❤❤❤❤❤❤❤;netral
haryatiariff;❤️❤️❤️;netral
rismaljuliyandi;Angel😍;positif
actioncamerapro;SPORTS CAMERA LIKE GOPRO, XIAOMI YI, DSLR DAN MIRRORLESS HARGA TERJANGKAU CEK LANGSUNG YAAAA 📸📸📸📸📸;positif
topan.cobeins;Jatuh.....jatuh....jatuh...😂;negatif
ca.rizka;sukaa captionnyaaa;positif
silvi_zizza;Nyidirrrrrrrrr sape rinn?;negatif
heiitsmei05_;Kayak bidadarii yang terdampar gitu kak @awkarin 🤣🤣;positif
wardhaintn_;Ngeriiiii;negatif
brigittacynthiaa;Foto lama ya kakkk kayinnn😂😂;negatif
oliviansh_;Caption needed;positif
renycarmilla;Tadinya aku g terlalu suka @awkarin tp ternyata dia masih py sisi empatynya..;positif
wulannmanikk;nyi roro kidul;netral
tajjull_;Nyi Rorokarin 😍;netral
tiaraaafkl;Kapan jogja lageee;positif
nasruddinfoker;Cantik;positif
irrfandayy;💟 semoga selalu dapa;netral
novi_sasmita9;Aku pikir lukisan 😍;positif
allduran;💎💎💎💋💎💎;netral
allduran;💎💎💎💋💎💎;netral
oliviaindah04;💯💯💯;netral
lzynx26nxtxlyz;😍😍😍;netral
novakhnisya;Iya sayang iya;positif
alena_setya;Bagus banget body nya..😍😍;positif
icikicikembem;Ude pernah ye @generasi.meecin;netral
pembesar_payudara_terlariis.id;Thanksss kakk! aku naikk 7 cm pakee peninggi badan darii @peninggi_terbaik_ampuh . cumaa 1mingguu, gakk lagii lagii deh disebut manusia cebol😂...@peninggi_terbaik_ampuh 😍  Wa: 081261371039;positif
dianaalbadhawi;Wow;positif
milyasw;itu nahan posenya capek gak kak🙈;negatif
najmiatihumairoh;Bidadari bumi🔥;positif
yosiwii_;Tiati rin jatoh 😭;negatif
soniapms_;Kayak malaikan gila 💗😍😍😍 cantik total;positif
yohanaritonga_;@patriciapolandd gua potoin pose kek gini mo ga awkowkwowwk;netral
paujan.ojancok;ngga si gw dari sperma;netral
sucayy__;😍;netral
azlinawatii_;💚💚💚;netral
justmyselfone;😍;netral
glarss_;😍😍😍😍😍;netral
jalanfotojalan;akhirnya yg ditunggu, take kapan post kapan kakk😂😂😂;positif
devamegaaa;Kaya malaikat;positif
_rullsss;panutan sklo😘😘;positif
mayamarlenita;Yuk follow @mariatha_glory banyak koleksi outfit yg kekinian ✨;positif
delfialfa;Dewi fortuna turun dari kayangan 😂;positif
rinaaandrii;Unchhh😍;positif
monicadinaaaa;uwuuuu;positif
tiranikomala;@andriyanirizki nek ning kulon progo jo lali foto ngene ki;positif
jaredrepo;😍;netral
aqcimool;"yaAllah aku foto di panguk ga gini2 amat ya bagusnya:"")";negatif
sriwhnn;terniat bngt bngtann😭😭;positif
divisionhoods;Segannn 🔥🔥🔥;positif
nicenxawaw;Ini foto mama waktu galau nak;negatif
firdayanti_esaputri;Dan akan berakhir di tanah;negatif
nafilaarlan;Duyung putrii💛💛💛;positif
tasya_wattimury05;Benar banget kaks👍;positif
_dndaaml;❤️😚;netral
aldoresare;Macam duyong rin. Keren ehhhh🍻;positif
allyafy;luv u @awkarin 💕💕💕💕💕💕💕💕;positif
evertybeauty;Loveee❤️❤️❤️;positif
taniastzx;damn;positif
rrnachytt_;Idih idih kan maenn aku ga berani loh naek kstu😂😂;positif
yumme17;Setujuuuuuuuuu;positif
super.tooth.whitening;MINGGU PROMO SPECIAL KHUSUS BUAT YANG SIAP PUNYA GIGI SEHAT PUTIH CEMERLANG !!!- @super.tooth.whitening- @super.tooth.whiteningREADY STOCK PAKET PEMUTIH & PERAWATAN GIGI SUPER WHITENING TOOTH ASLI 100ORIGINAL.- @super.tooth.whiteningBERIKUT FUNGSI SUPER WHITENING TOOTH ORIGINAL :1. Memutihkan gigi dengan cepat,2. Menghilangkan noda & karang gigi,3. Menyegarkan nafas & mencegah bau mulut,4. Menguatkan gigi mencegah gigi berlubang,5. Menjaga kesehatan gigi & mencegah sekaligus mengobati gusi berdarah, dan6. Cocok untuk pengguna behel karena terbuat dari bahan alami tanpa bahan kimia yang membuat korosi behel.ORDER / KONSULTASI :WA :  085716821300(FAST RESPONSE)#bersihsehat #gigikelinci #bandung #jakarta #jawabarat #jawatimur #jawatengah #papua #makasar #surabaya #doktergigi #kulinerbandung #jogja #kulinerjogja #nafassegar #poligigi #tanggerang #palembang #sulawesi #sumatera #aceh #jambi #padang #kemayoran #malaysia #kualalumpur #banten #bogor #kalimantan;netral
yaayaoke;Galau ? Jogjain ajaa;negatif
__creqmpuff___;Aaaa cantik sekali😍;positif
asniasn_;Biru biru gitu jadi inget laneige;netral
firdhasyahrani_;Galau? Jogjain aja;negatif
putrwin;Yaampun keren bangetttt 😍😍;positif
ighfifi;jogjaaaahhhh;positif
biyamoana;Aku 161 termasuk tinggi gak kak 😢😢;positif
iamronabell_;Turun dri situ pasti degdegan🤣;negatif
ecaftr___;ini tuh waktu sama kak @eri.carl;netral
agstnadwil;Bener karinn😭;positif
desynurulftrn_;Di gantole nya ? @voiiifs;netral
pratiwihndyn08;😍😍😍😍😍;netral
sevillamaharani;Gunung yang tinggipun tumbuh berdiri gagah dari didalam tanah;positif
meilyansiwy;uhhh;positif
irvanabians;Wahhh keren sih ini💯;positif
mhdgilangrialdy;Next #kelanakarin ke pekanbaru;netral
nambah_tinggi_180cm_up_02;Mauü nambah tinggìí badanñ tapiiî maless olähraganyãa??? Solusî naik tinggîî 3-17cm dalam 20-30 hariiï cek iG kamiï😉👍;positif
vhonnanurhaliza;😍;netral
sya.as_;JOGJA LAGI YOK RIN;positif
syakillanr_;😍😍😍😍😍😍;netral
taniafy_;So love u karin💕💕💕💕💕;positif
hi_wwwiinn;Gow is a woman😍;netral
dapurmamamadu;Sukakk❤️;positif
defitafw;😍😍;netral
dindakhrnnisa;Ih cukul sekarang jadi terkenal @riaaaaih;positif
wahyu.puttra;KE JOGJA LAGIIIIII MIT AP SINI KAKA;positif
infoslotgacorsekarang;Sumpah iya cakepp parahhhh😩😩😍;positif
alif.jss;You are like an angel falling from a tile✨✨;positif
wdxxsn;Masasinur 😍🔥🌚💜;netral
mrs_berbie;@herimochtar90;netral
evaidrnii;Betul kak😍😍😍😍;positif
vrnti.nvny;❤️❤️❤️;netral
syahranirnt;gajadi jogja galauin aja?;negatif
goticsy;Oh ini penghuni khayangan? Kirain mimi peri 😂😂😂😂;positif
intannurulfyh;Bidadariku❤️;positif
bukanenchi;idola akuh😘😘😘;positif
awrayy_;OMGGGG💓💓💓💓💓;positif
sty.nl;I kno this place omg karinnnnn❤️;positif
itaalutfi;Luv❤️❤️❤️❤️;netral
dineuriantinaa;Ksniiii yuk 🤣 @deenishh @mirahildaa;positif
_denizio_;Dinginn rinn dinginn @awkarin;netral
jejeaka_;pas galau galau nya 🤣;negatif
emiliaalps;galau baliin aja, seneng jogjain aja..;positif
naydmn;💗💗;netral
windynhr;Amazing eqeqeqq;positif
kaiikar_;Bercerita dan berdiskusi💜;netral
kaiikar_;Kembaran lagi di Jogja? Hayuu kita bertemu;positif
jybrieel;mommy 😭😍😍😍;netral
s.kiting;Nah ini calon bini🤣;positif
icaa.hrns;Inikan tempatmu foto kalo ga salah yak @bvi.an;netral
zouliannaaa;kirain nyi roro kidul😭❣️;netral
shaxxilanp_;Jdi inget vlog yg dlu;netral
intannatp;Sumpah baru tadi nonton vlog kesini;positif
rizal_zelig;Awas jatoh mba;negatif
nina_nnf;Kok tau taunya kualitas ftonya ky gini ky fto lama,biasanya bening bgt rin;negatif
delailaaliazzaraida;Cantik terus🖤;positif
fncholisa;Tolong bantu like postingan terakhirku ya teman” untuk tugas kuliah technopreneurship 🙏 1 like dari kalian sangat berarti terimakasih 🙏😊;netral
skincare_ubc;🤩ada kertas-kertas begini di rumah kalian......???-kwitansi pembayaran RS-resi transfer-nota belanja -struk belanja-struk makan-struk pengisian bbm-struk pembelian Token -struk pembayaran Listrik/pam-struk pembayaran servis mobil / motor-pokoknya nota/struk pembayaran apa saja bolehJANGAN di Buang .....!!!Karna kertas-kertas di atas bisa di tukar jadi UANG /  RUPIAH😍#bliuntung #pastiuntung #untungterusAYO, segera bertindak dan ambil posisi masing2...Lebih cepat, lebih baik..... Sekali daftar sudah berlaku seumur hidup dan bisa di wariskan😍Mauuu??? Silahkan wa saya👥Join Member ✉️Inbox 📲WA 0813-6873-1712;netral
d.setya98;Gw kira katrina kaif 😂;netral
muftikh;Caption : Awkarin bobo di awan;netral
kartikaawlndr;anjaee mae;netral
ezarokta;Kok bisa sihhh secantik ituuuu;positif
nisa.ulqarh;ku pikir ini siapaaaaa;positif
rerecisillia;Makin mantap aja😍;positif
oaether;Ka Karin🔥;netral
azizasz_;💖;netral
mresdianaa;❤️❤️;netral
vildokswaraa;@_jejakkakirimba @taufiktemu_ @rzulardiansyah._ @syaban_rasmin @yosua.mantong @fadilavo @ferdiasnyah_pratama @muh.yudhianto128 gurmek mann🔥🔥;netral
etika_umaya;Kok kaya gambar yang di belakang truk ya kak wkwkwk 🤣🤣;negatif
lululfadka;Bidadari bukan nih❤️;positif
srikayarizk99;wowwww;positif
delilin8;😍;netral
_sungguh;Cantik kak;positif
linggawrd;GODDAMN!!!🔥🔥🔥;positif
itsnotdeer;yah burem;negatif
palupi_souvenir_murah_;😘😘😘😘;netral
axlprtmaa;gils ft yg berkelana sm mbaeri 😂😂;positif
naglandee;💗;netral
vanesha.a;kamu mah bidadari;positif
silalivia;Kirain nyi roro kidul:(;negatif
vxzoja;Canciiiii;positif
rnarindita;ini kapannn;netral
adekaasc;kita jg pernah kesini loh @nancymargarethaa_ @ajengpmg @anggelathalia;positif
rinaakarn;Luv🖤 @awkarin;positif
fyysaurs;🔥🔥;negatif
awkarin;Our first culinary stop! Sate Klathak Pak Pong, fell in love with Pak Pong’s Klathak Satay since 2016. My taste of food never fails you, right? 😋;positif
plppknhiekw;Aaaaaaaaaaa balikan yahhh? Kok poto sama mas sabbb dikluarin smuaaaa;positif
indryyyn_;Besok aku juga mau nyobain ini ia @pemaniss_buatan;positif
adheparamithaa;muka jodohh kak😍😍😍😍;positif
ayyuaay;❤;netral
raya.tyas;Sate rasa cintah💕;positif
oktaviaarnindhita;💙💚💛;netral
clarissarestuu;Mauuuuuuu :((((;positif
resigustip;Lutunyaaaa😍😍😍;positif
adheliaanandau;💗;netral
adellianadine_;Maem @awkarin;netral
nurpadli13;Kuliner teross bareng doi dong😍;positif
giovaneisty_;Gunusshhh 😍😍😍 @awkarin @sbngram;positif
megapiay;Love untuk kalian berdua;positif
naura.oyha;kan makannn😂;netral
whynnniii;Ihh gemayy liat nya,semoga aja jodohh @awkarin;positif
fikafitrianesia;Sukak bgt😭;positif
putrizhania09;Njir bukan ama gangga lagi;negatif
libervia89;Finally sate klathak pak pong skrg sudah ada yg berAC yaaa..... 💃💃💃💃💃💃, soalnya klo pas musim kemarau berasa bgt panasnya trs rame bgt kannnn padet yg mau makan. Klo di bikin kayak gini lebih nyaman aplg udh ada musholanya dan 2017 lalu sudah jadi, mushola dan toilet barunya jg jauh lebih nyaman 👌🏼;positif
chrstrii;Emm💖💖;netral
juliyantisabar;😍😍😍;netral
kdinda__;Gemessssss ahhh😭;positif
anindya.j;mirip;positif
aindlicious;SERASI!;positif
triaseptiyani;Cocok😍;positif
jasa_gambar12;Kukira itu karin lg megagin kepangan :( ternyata sate;netral
__kiranaoktva;😍;netral
wahyutrikop_;❤️;netral
yourgirlbitch_00;Di tunggu kbr bahagia nya😅;positif
ennyahya;SeMoga berjodoh😍😇;positif
novelinalily;Lebih cocok yg ini sihh..🤭;positif
novelinalily;Pacar baruu..😊😁;netral
fauzianb;Gangga bwt gw ya rin 😆😆;netral
wahyutrikop_;❤️;netral
firlyamandaaa;Simirip gols bgt!😍;positif
arinimaya08;Mirip;positif
rostikapebri;sate yang bikin ngangenin 🤤;positif
rostikapebri;sate yang bikin ngangenin 🤤;positif
imeldamanru13;Ada 2 kali mngkin ganti cowok slama 1 tahun karin ya;negatif
reduut;Kayaknya fix sih inik😭😭;positif
yunitarinaaa;Cobain sate klataknya joglo simpanh lima deh dkt bgt ma pak pong tmptnya,tp kl mnrtku lebih enak simpang lima dan nunggunya pum ga kelamaan;positif
yfavoriterino;Mantep ga tuh sist @awkarin;positif
adndafzryn_;Fix kali ini dia g sejahat yg kmren-kmren! Aamiin 😙;negatif
sarahzakiah_;cocok udh:( nikah aja cepet lo ah;positif
eldippie;❤️;netral
akushyco_;Karin, semoga selalu sehat dan bahagia ya!💜;positif
cacamanda_;sosweett❤️❤️;positif
todayisdito;Bagaimana saksi?sah?;positif
todayisdito;Bagaimana saksi?sah?;positif
okta.saputraaa;eyy sikarin ngebucin huwowowowo 😁;negatif
sarahfushiguro;INI LHOO YG GUE MAKSUD SATE NYA PAKE GERIGI BAN SEPEDA GTTT [kalo gasalah] @enjawww;positif
na_billa.fy;Mirip banget mukanya;positif
parshajf;ko kita ga ketemu wkwk;netral
saraheryanty;mirippp njirannn;positif
ayu_safitri46;Mirip banget mukanya kakak 💓💓;positif
liqoyimaa;Kali ini wajahnya mirip @awkarin 🤭🤭;positif
imeldaadinda_;karin cantik banget, pusing :';positif
imeldaadinda_;karin cantik banget, pusing :';positif
sifitrii;Aw aw apa yg keren @awkarin 😚;positif
diindah_77;Mirip ka😭;positif
hikmaahh96;Mirippppppp.....;positif
shelvdella;gemay😭❤️;positif
nadyaaart;Kita gajadi makan sate klatak kmaren 😭 @diandanisse;negatif
yasinta_adp;Mirip, semoga jodoh ❤️ ya rin @awkarin;positif
iqbalmprasetya;dijogja sis ? @awkarin;positif
pandu_buwono;ganti pacar lagi ? 😂;negatif
elsese__;Gemesh💟;positif
arrystyasih;Miripp ahh;positif
naputeri;Tiba tiba inget makan ini smaa kamu :( @duta_wicaksono;positif
az.zahraaaf;yauds ok;positif
gagatreee;Mirip beneran..;positif
antonius_tandra;@ganggaksm msh pede kerja dikarin. Gw jd u cabut dah😓;negatif
afffanzz;Kurasa kutlah jatuh cinta😂;positif
kodellsss;Miriip banget yaampun ❤️;positif
kayyeev;kaa bikin vlog nya dong;positif
helmiihell;Kok mirip yaa😍;positif
mitha_aulia26;Ganti lagi kak ? @awkarin;negatif
neocityjam;udh klop bgt ini jangan ganti lg kak karin wkwk❤️;netral
kylaputria;Somehow, miriiiippp😊;positif
vinasyafaaa;Serasiii🔥;positif
galeryhairclip_;💖🌸🌸🌸❤️;netral
rini.oktsu;Cocok bingiddss😍;positif
tiwiiaja;Aku makan ini kemarin tunggu sampe 2jam. Tapi rasanya tdk mengecewakan 🥰🥰;positif
fadillaqamilia.n;ajg gemes masa;positif
ariffiantoo;@_boteng teng lu ngapa disana;netral
kavkarii;ko mirip 😭;positif
ditariswari_;jangan jangan ini yang dinamakan jodoh, mirip banget😍;positif
dewigiriw_;miripppppp;positif
najlaaranti;Mukanya mirip😭;positif
a.sekarrrr.p;Sate pak pong . Hahahahahhahhhahh enak banget emanggg;positif
wiwisyudistinr;canteee;positif
thesalonicacl;KALIAAAN MIRIPPPP!!❤️❤️❤️❤️;positif
dnf.yptr;Bantul?;netral
len.lusia;Gaboleh next lagi!!!!!!! 🙌😍;netral
claraauliaa11;lucuuu;positif
septha_09;😍❤️❤️;netral
kaariinns_;🖤;netral
najwanandita;mas abi mbak karin 😭;netral
ayumigsl777;Lebih cocok yg ini dari pada yg kmren2..;positif
krisandreas_;gangga?;netral
putrisint4;Miripp bangeeet;positif
febriwulan_k;Emg enak bgt tuh sate kak;positif
nicaayis;❤️❤️❤️ cocok bngttttt;positif
chaca.anndta;😍😍😍;netral
karinarena4;Mirip gasih;positif
ryanlevii;Unchhhhgg👏👏👏;positif
amengku;Mirip neng;positif
sabrinadpp;Luuuucuu😍;positif
sjfancypage;MIRIPP;positif
miraasant;Adem banget muka cwonya kyk ubin mesjid😍;positif
puddingkenyel;💘💘💘ganteng bgt mas abi;positif
kangyusuf_;Langgang ka kayinn;positif
noviaartn_;😍;netral
noviaartn_;cucok;positif
tikka_hairbeauty;😍😍😍😍;netral
magdaaprln;yaampun😍;netral
bonafide.en.law;Mirippp❤️;positif
niarmaul;miripp😍;positif
vavaprdtya;Kalo akuu jatuh cinta sama  mas abii nyaa 😭😭😍😍😍😍😍😍;positif
arok_rk;😍;netral
tikasomoy;Uhh😍;netral
annisa_fadiilaa;Mirip bgt sumpah dahh❤️❤️❤️;positif
adindasarifahmi;Udah pls ini terakhir kalian sangat cocok♥️♥️😘😘😘:(;positif
adindasarifahmi;Udah pls ini terakhir kalian sangat cocok♥️♥️😘😘😘:(;positif
auliaseftyaaw;Cocok bgtt🔥;positif
_asrii.atl;🔥🔥😍😍;netral
sitifa99;Mirip;positif
nopalgoji;Belom pernah sate klatak mbah abu aja ni;netral
hallonha__;Ganteng❤️;positif
xngseongwu;Nikahhh;netral
gisl.rp;Yang laki siapa kak?;netral
sukmameythaa;Cakep amat pcr orang.;positif
gunggektriii;❤️;netral
shellaauberta_;Muka jodoh 😍😍😍😍😍😍😍😍😘😘😘😘;positif
lestioktarida;wkt itu mau mampir makan sate pak pong. tapi grab nya mahal beud, jauh 😩;negatif
gadisnabilaaulia;Cocok ih wkwkwk;positif
ic00ngg;😍😍😍;netral
tiaraa.afr;❤❤;netral
yiitikk;GEMESHHHHH😍🔥;positif
dellafg_;Alhamdulilah sahh💕;positif
fsyaamra;Sewajah dong🥰;positif
dipps11;Udahlah udah cocok bgt, gausa putus2 lagiiiiii yaaaaaaaa, seriusin yg ini aja ampe nikahh uwuuu😮❤️;positif
roroprasetyooo;Mirippp bnget Gilaa, mas abi tuh kek kak karin versi kalem 😂;positif
naginaaaa_;cubatttt;positif
alfianimld_;2020 SAHH ❤️;positif
jejesoxoo;Ka karinn bahagia selaluu😍😍;positif
s.hafsahhh;😍😍😍;netral
elvnamaria;Apa cuma gue yg liat mereka mirip? 😕😅;positif
mutiaraprr;cucokkk 😍;positif
nazwahpr;yeay sama!!;netral
rinaaaw18;Nunggu berapa jam?😂;negatif
nurauliag_;❤️❤️❤️❤️❤️;netral
dejull12;Eh ko mirip yak;positif
mutiarabag1;GROSIR TAS IMPORT TERMURAH👜💼;positif
puputnova_;💜💜;netral
tanitnot_;ih lucu sekaliyyy😍;positif
lidhia37;😍;netral
elsfrda;Abi ganteng bgt ya;positif
adiyot_;Peninggi ginjalnya kak;positif
sepatu_bigsizewanita;Mantap 😍;positif
shintiafebb;Ganteng bgt mas abi;positif
lisye.rsd;Semuka;positif
shazfa_style;😊😊;netral
anggiaaaaam;ihhh, kirain calum hood dong 😭;netral
regitenk;mas abi,,,,,;netral
ridhwanstt;Covookk;positif
nadshelyk;Dah lah dah lah #menujuhalal;negatif
fitriana14_;Semoga alam semestra meng aminkan kalian!! Aura nya positif bgt ❤️;positif
ahcsanah_16;Cocok😀♥️👍;positif
rah.maaaaaaa;Suka liatnya😻😻😻😽;positif
rah.maaaaaaa;Suka liatnya😻😻😻😽;positif
pleindelumieres;Lucu banget si kalian 😭longlast ya kak karin 😭💗🔥;positif
novtasrnp;Enak banget pasti🤤;positif
zizahasmaa_;😍😍😍😍;netral
anggyfebryy;cocok ka;positif
okirenashp;😍;netral
efrianarahayu;Kak karin kejogja?;netral
noviekaa_;Mas Abiii😍;netral
kawulan18;Mas abi ku 💕;netral
salmaazzhraa;Mirip🔥;positif
hrmdix;Serasiiii 💙💙💙;positif
yunika.gmp;Mirip❤️;positif
devift;Saya yg bahagia melihatnya😍;positif
unknownflekzzz;SETEruse karo mas abi amin🥰😅;positif
dhetaelviera;Rin mirip wei;positif
dewiaurahliakarimofficial;mirip wajahnya, semoga berjodoh 😍;positif
novemberdead;❤️;netral
maulana_26;Lopyu;positif
syafirazahrr;ganteng:(;positif
yupii.candy;awkarin makan sate cakep!!!;positif
ermarquez93;Gas rabi kakkk🙂;positif
raxxmxz;Honestly, cocok! Semoga cocok beneran dan langgeng!!! ☺😎;positif
fellychiia;bahagia terus😭😘;positif
andakepoyahhh_;😍;netral
wulaaaannnnnn;💖💖💖😭;netral
rhanakr_;r u guys dating?;netral
tom.wardo;Gaskun kaaaa;positif
putriintnr;Bahagia terus kak 💛💛;positif
ericatirssa_;nunggu satenya brp jam kak🤣👎🏻;negatif
diinial_qindyy;😪💓;netral
shantynettu;Cowoknya karin yg ini manisss bgt sumpaahhh ❤️❤️❤️❤️ semoga sampai sah ya rin...😋😋;positif
maulidyaika26;Miriiip ka karinn;positif
yael07997;Rin , babang ny buat aku aja boleh gk?;netral
dessycik;Mirip ih ❤;positif
lidyalidn;Semoga jodoh amin;positif
natazaazhr;😍💕;netral
rischa.aa;MIRIP NJIRRR;positif
englymangi;TAMPANN LE 😭😭😭😭😭😭😭;positif
putribalqistia;💙;netral
_luthfiaa07;Knp ini manis bet yawlo :(;positif
itsfarahai;kyoooddd😍;positif
nr.diniandrn04;Cocok abisss😍;positif
aulianisaskmwt;Miripp ihh;positif
karin.sabian;Loveeeee u guys;positif
ajjengggg;mas abi mirip d.o;positif
nandaniputrii;Kayak abdi negara nihh;positif
nabillahanifahhh;💛💛;netral
ssndni_;Mau😂;positif
arvinkeynes_;🖤🖤;netral
naaad__12;Emang gila sih dulu tiap hr minggu wajib ngt kesiniiii;positif
ssndni_;Mau😂;positif
nurulfarihah24;Gumuyyy😭❤️;positif
teguhbdhrydi;Longlast karin;positif
chrannysari;💖💖;netral
umaijelly;mirip;positif
adeles02_;Semoga bisa menjadi partner sampai nanti menikah😊;positif
ontaarab200;Cocok bangett;positif
its.giskaaa;wenak bgt ini mah;positif
adelinaptriy;❤️❤️❤️❤️;netral
cutindahxlv.ksm;Yg ini udh diajakin silahturahmi ke Bonbin blm nih?😂;netral
tifanysaputri66;Mirip Woyyyyyy😍😍;positif
not.urfoundme;mas abiii😍;netral
mal.voyy;kak bikin vlog dong pliss;positif
parmitttmitt;Cocok banget😍😍;positif
rinimgya;Ko miripp;positif
shelviiiar;2020 sah✨;netral
destirmdntii;😘😘😘;netral
rosiyaninandam;Mirip kak😭😍;positif
saarianii;Cocok;positif
gloria.permataa;❤️;netral
priyantiasnawi;Ganteng banget si kak😭;positif
riskaaa.agr;Biasanya kalo mirip jodoh;positif
femmydaaaa;Sumpah rin lu lebih cocok ama inii, ke ada kemiripan hihi;positif
monicakidung;Sampai nikah amin ❤️;positif
devithastephanie;Wedyannnnnn;negatif
ditandi22;"Defenisi jodoh "" MIRIP """;positif
rachminnisa;suka bgt yaallah🥰;positif
armeliyaa;❤;netral
putriiayuanjn;Mirip ganggu;positif
raisethadwikartika;💜💜💜💜💜;netral
m.arvinromeroo;Halal;positif
septii0209;Kyutttt bgtttt💖;positif
kevinwijaya35;dari cinta ke sate sm yg makannya.;positif
sasaaauuuu;😻😻;netral
yourboyfuckingfriend;😭😭😭😭😭;netral
npta.sr;Awal tahun dimulai dg yg manis;positif
its_aayanggg;❤️❤️❤️❤️;netral
zaer9568;Rin lu kelihatan bahagia banget sama Mas Abi, lekas terus bahagia begini yah Rin. 💕💕;positif
biankaar_;Jatuh cinta saamaaaa kamu💛;positif
ds_ftryni;Y;netral
nabiladp8;#2020gantistatus;positif
abdurrahman.aflan;😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍;netral
slvyolandaaa;TAK COCOK:(!;negatif
aowkwkok;Cocok;positif
moenlightbee;sukak bngt kl sm mas abi💙;positif
sopianusop;Langgeng;positif
marchellanr;😍😍😍😍;netral
hellocindikaa;Plisss, kali ini jangan sampai lepas😩❤️;positif
kamal.santoso;po(co)ng;negatif
rizmasb;sukakkkk😍;positif
halizaza__;Karin udah nggak sama gangga ???;negatif
